selection,method,primary_method,shared_rank,gene,gene_short_name,scsketch_correlation,orientation_adjusted_scsketch_correlation,method_pseudotime_correlation,method_q_value,path_progress_pseudotime_spearman_r
Selection 1,Monocle3 global,True,24,WBGene00017236,F08B4.4,0.6946496166766121,0.6946496166766121,0.6731947351316092,2.4854909985224443e-81,0.9669037130761381
Selection 1,Monocle3 global,True,25,WBGene00019324,K02F2.5,0.6842126994673352,0.6842126994673352,0.6199890520311377,2.1545192783295422e-65,0.9669037130761381
Selection 1,Monocle3 global,True,26,WBGene00009144,del-3,0.6768336774100199,0.6768336774100199,0.6590457599935825,8.58339901583717e-77,0.9669037130761381
Selection 1,Monocle3 global,True,27,WBGene00017671,pgal-1,0.6728519772992972,0.6728519772992972,0.6023376875543234,9.714850875515113e-61,0.9669037130761381
Selection 1,Monocle3 global,True,28,WBGene00004207,ptb-1,0.6619683481057925,0.6619683481057925,0.6944840760940248,1.186378483234107e-88,0.9669037130761381
Selection 1,Monocle3 global,True,29,WBGene00001854,hil-3,-0.6497433192624416,-0.6497433192624416,-0.6508135248747666,2.8692485652077545e-74,0.9669037130761381
Selection 1,Monocle3 global,True,30,WBGene00018213,F39H12.2,0.6476690617801657,0.6476690617801657,0.578965640583771,4.6309820852116655e-55,0.9669037130761381
Selection 1,Monocle3 global,True,31,WBGene00004926,snt-6,0.6472263777314697,0.6472263777314697,0.6802722381014866,1.0850381093274367e-83,0.9669037130761381
Selection 1,Monocle3 global,True,32,WBGene00016016,C23G10.10,0.6432895569614502,0.6432895569614502,0.5732336101425095,9.610460049568142e-54,0.9669037130761381
Selection 1,Monocle3 global,True,33,WBGene00017150,EGAP5.1,0.6361733458957213,0.6361733458957213,0.5684858112536635,1.1014693292207658e-52,0.9669037130761381
Selection 1,Monocle3 global,True,34,WBGene00009716,F44G4.7,0.626336312779557,0.626336312779557,0.5792895687486909,3.927725499167625e-55,0.9669037130761381
Selection 1,Monocle3 global,True,35,WBGene00010632,K07C5.9,0.6236339600443875,0.6236339600443875,0.6757114385566756,3.704012939112989e-82,0.9669037130761381
Selection 1,Monocle3 global,True,36,WBGene00021254,Y22D7AL.16,0.6214890372810183,0.6214890372810183,0.5761659386656629,2.0619776880605043e-54,0.9669037130761381
Selection 1,Monocle3 global,True,37,WBGene00003745,nlp-7,0.6152945766744987,0.6152945766744987,0.5752394161475168,3.319566980869993e-54,0.9669037130761381
Selection 1,Monocle3 global,True,38,WBGene00003000,lin-11,-0.6096929124495485,-0.6096929124495485,-0.6530538005461164,6.067813300079168e-75,0.9669037130761381
Selection 1,Monocle3 global,True,39,WBGene00002253,lbp-1,-0.6003947626026455,-0.6003947626026455,-0.5949823500200183,6.36690065897056e-59,0.9669037130761381
Selection 1,Monocle3 global,True,40,WBGene00019975,flp-34,0.5970222037336756,0.5970222037336756,0.6575794581423018,2.4441275429661997e-76,0.9669037130761381
Selection 1,Monocle3 global,True,41,WBGene00001820,ham-1,-0.5946693564626585,-0.5946693564626585,-0.5864478298400525,7.846115958548812e-57,0.9669037130761381
Selection 1,Monocle3 global,True,42,WBGene00017295,F09E10.5,0.5526210254665924,0.5526210254665924,0.5989478028273595,6.822848046381254e-60,0.9669037130761381
Selection 1,Monocle3 global,True,43,WBGene00001758,gst-10,0.532121703546957,0.532121703546957,0.5707379219364528,3.5040893338608925e-53,0.9669037130761381
Selection 1,Monocle3 partitioned,False,1,WBGene00000458,ceh-37,-0.747126817670324,0.747126817670324,0.3933559294440559,8.213458649004832e-22,-0.095439794744548
Selection 1,Monocle3 partitioned,False,2,WBGene00019039,fbxb-18,-0.7394520289089258,0.7394520289089258,0.31606275647126875,1.2717457158919003e-13,-0.095439794744548
Selection 1,Monocle3 partitioned,False,3,WBGene00001898,his-24,-0.7338240412320495,0.7338240412320495,0.31241477825176744,2.6513631846985574e-13,-0.095439794744548
Selection 1,Monocle3 partitioned,False,4,WBGene00008447,E01G4.5,-0.7289311284956804,0.7289311284956804,0.2979476659159735,4.803543599555868e-12,-0.095439794744548
Selection 1,Monocle3 partitioned,False,5,WBGene00004207,ptb-1,0.6619683481057925,-0.6619683481057925,-0.30832805959262133,6.036046298926853e-13,-0.095439794744548
Selection 1,Monocle3 partitioned,False,6,WBGene00004926,snt-6,0.6472263777314697,-0.6472263777314697,-0.3891948995998766,2.6296145048322616e-21,-0.095439794744548
Selection 1,Monocle3 partitioned,False,7,WBGene00010632,K07C5.9,0.6236339600443875,-0.6236339600443875,-0.4649254917017606,1.9051662177154553e-31,-0.095439794744548
Selection 1,Monocle3 partitioned,False,8,WBGene00003000,lin-11,-0.6096929124495485,0.6096929124495485,0.3976426274418263,2.5349468708672924e-22,-0.095439794744548
Selection 1,Monocle3 partitioned,False,9,WBGene00019975,flp-34,0.5970222037336756,-0.5970222037336756,-0.5275162444652911,5.6920791089282325e-42,-0.095439794744548
Selection 1,Monocle3 partitioned,False,10,WBGene00017295,F09E10.5,0.5526210254665924,-0.5526210254665924,-0.47346967304990545,9.508992695616531e-33,-0.095439794744548
Selection 1,Monocle3 partitioned,False,11,WBGene00007640,C17D12.7,-0.5369997255006674,0.5369997255006674,0.3087881077736716,5.552851931340538e-13,-0.095439794744548
Selection 1,Monocle3 partitioned,False,12,WBGene00001758,gst-10,0.532121703546957,-0.532121703546957,-0.4030964556926021,5.871241087021247e-23,-0.095439794744548
Selection 1,Monocle3 partitioned,False,13,WBGene00012382,ttr-16,0.4786133125352261,-0.4786133125352261,-0.2707075715712901,7.381934644700667e-10,-0.095439794744548
Selection 1,Monocle3 partitioned,False,14,WBGene00008865,F15G9.1,0.4515372246025989,-0.4515372246025989,-0.28246896694420165,8.692120046908347e-11,-0.095439794744548
Selection 2,PAGA/DPT,True,1,WBGene00007883,C33A12.4,0.8356265479444619,0.8356265479444619,0.8646874433794665,1.0889866184659785e-295,0.8745469208633169
Selection 2,PAGA/DPT,True,2,WBGene00002253,lbp-1,-0.8198022695283009,-0.8198022695283009,-0.7570842185381186,4.556581835715971e-183,0.8745469208633169
Selection 2,PAGA/DPT,True,3,WBGene00001898,his-24,-0.7970503380483802,-0.7970503380483802,-0.8167663116367513,3.0395950473669367e-236,0.8745469208633169
Selection 2,PAGA/DPT,True,4,WBGene00016088,clec-266,-0.7538295779659488,-0.7538295779659488,-0.693836810640854,2.968183588948601e-141,0.8745469208633169
Selection 2,PAGA/DPT,True,5,WBGene00001858,hil-7,0.7504148964023868,0.7504148964023868,0.5866006547223727,6.22341943375144e-91,0.8745469208633169
Selection 2,PAGA/DPT,True,6,WBGene00010647,K08C7.4,0.7166745099727477,0.7166745099727477,0.8994858984410918,0.0,0.8745469208633169
Selection 2,PAGA/DPT,True,7,WBGene00001854,hil-3,-0.6392695978400614,-0.6392695978400614,-0.6687162968671138,1.4305933227094882e-127,0.8745469208633169
Selection 2,PAGA/DPT,True,8,WBGene00004207,ptb-1,0.6236396365193242,0.6236396365193242,0.7525760850000006,1.1204893261410832e-179,0.8745469208633169
