gene,gene_short_name,correlation,p-value,discovery_score
WBGene00007883,C33A12.4,0.8356265479444619,7.0809614267796e-261,10
WBGene00001858,hil-7,0.7504148964023868,6.112943970751443e-181,7
WBGene00010647,K08C7.4,0.7166745099727477,9.403434426701582e-158,6
WBGene00020772,T24E12.2,0.6952545922248315,1.0163947355873634e-144,5
WBGene00004207,ptb-1,0.6236396365193242,1.9769832974242594e-108,4
WBGene00012616,dct-14,0.6202545212760455,6.033543724095592e-107,4
WBGene00016297,fbxc-15,0.6121572647958399,1.8150713783258467e-103,4
WBGene00016397,maph-9,0.6115233071473402,3.3649023457567476e-103,4
WBGene00011545,T06G6.3,0.6069166800363553,2.8629727884189234e-101,4
WBGene00249817,F42G8.19,0.6037113347379015,6.040354755111985e-100,4
WBGene00044020,ZK856.14,0.5984266307978833,8.54636181338111e-98,4
WBGene00021911,Y55B1BR.1,0.5876471782305159,1.5725797214788793e-93,4
WBGene00044387,C27A2.8,0.5817137593625114,2.9957889875608764e-91,3
WBGene00022295,cng-2,0.5792020144709612,2.6766079572850358e-90,3
WBGene00017985,neg-1,0.5707970164807449,3.5547564705029085e-87,3
WBGene00009529,F38B2.2,0.56487375959814,4.9919263784337915e-85,3
WBGene00010236,F58B4.3,0.5557764333964569,8.18488535803697e-82,3
WBGene00003377,mls-2,0.5399898178932975,1.8259557145084468e-76,3
WBGene00194689,Y38H6C.24,0.5198215035868353,4.945086604086879e-70,3
WBGene00016016,C23G10.10,0.5197606543018988,5.1633664927860996e-70,3
WBGene00219421,Y66D12A.30,0.5128745847755597,6.477988389306181e-68,3
WBGene00010349,dyf-18,0.5121881024942131,1.042361936989026e-67,3
WBGene00219300,W10G6.6,0.5050873031113999,1.3408500824950585e-65,2
WBGene00016328,pde-5,0.5008370042495663,2.324751619418287e-64,2
WBGene00012328,W07G1.1,0.49995526980766597,4.180495011608094e-64,2
WBGene00017411,F13A2.2,0.4982701379908153,1.2770829514979287e-63,2
WBGene00022144,pghm-1,0.49520120113761334,9.606059296255256e-63,2
WBGene00010864,xbx-3,0.49032220457154424,2.277741105980041e-61,2
