gene,gene_short_name,correlation,p-value,discovery_score
WBGene00016561,eri-6,0.8887650818128008,3.083863244428895e-213,10
WBGene00007883,C33A12.4,0.8859786588181304,4.343078453307684e-210,10
WBGene00007604,xbx-9,0.8412349177293611,1.5704159641942033e-168,8
WBGene00022144,pghm-1,0.8102754808023326,1.0433952063440148e-146,7
WBGene00015354,snet-1,0.7842271956835284,2.9946292970756455e-131,6
WBGene00010236,F58B4.3,0.7794984059597705,1.1290608167006919e-128,6
WBGene00008840,F15A4.5,0.7735845564356314,1.5351426389736794e-125,6
WBGene00012853,Y44A6D.2,0.7616871137923671,1.623724974072424e-119,6
WBGene00010559,K04D7.6,0.7557440506865012,1.2275996186654067e-116,5
WBGene00249817,F42G8.19,0.7500161080995398,6.110906673623956e-114,5
WBGene00011289,R102.2,0.7449005075058687,1.3597840341827057e-111,5
WBGene00010575,flp-25,0.7443775569956793,2.3456676493442636e-111,5
WBGene00010239,F58B4.6,0.7257035002448528,2.9088279640608456e-103,5
WBGene00017236,F08B4.4,0.6946496166766121,3.4287165490581293e-91,4
WBGene00019324,K02F2.5,0.6842126994673352,1.789071416084298e-87,4
WBGene00009144,del-3,0.6768336774100199,6.138776848481101e-85,4
WBGene00017671,pgal-1,0.6728519772992972,1.3354611149526185e-83,4
WBGene00004207,ptb-1,0.6619683481057925,4.753400184203195e-80,4
WBGene00018213,F39H12.2,0.6476690617801657,1.3255045827314562e-75,3
WBGene00004926,snt-6,0.6472263777314697,1.8038179793083645e-75,3
WBGene00016016,C23G10.10,0.6432895569614502,2.731846639532609e-74,3
WBGene00017150,EGAP5.1,0.6361733458957213,3.360484947301992e-72,3
WBGene00009716,F44G4.7,0.626336312779557,2.1206546362838473e-69,3
WBGene00019269,H41C03.2,0.6248412886016607,5.536905850842622e-69,3
WBGene00010632,K07C5.9,0.6236339600443875,1.1973114850595262e-68,3
WBGene00010864,xbx-3,0.6226973945559672,2.172809826897075e-68,3
WBGene00021254,Y22D7AL.16,0.6214890372810183,4.6735652052455154e-68,3
WBGene00003745,nlp-7,0.6152945766744987,2.2500340475364942e-66,3
WBGene00001753,gst-5,0.599107380617302,3.774910802029888e-62,3
WBGene00016321,tppp-1,0.5985822145541353,5.128043874806671e-62,3
WBGene00019975,flp-34,0.5970222037336756,1.2697432738062209e-61,3
WBGene00011545,T06G6.3,0.5865371979411853,4.955859896595421e-59,3
WBGene00005585,sri-73,0.5721408676987911,1.2673380331083533e-55,3
WBGene00002048,ida-1,0.5579583875146733,1.992127536035621e-52,2
WBGene00005655,srr-4,0.5564934514403235,4.176101293395307e-52,2
WBGene00011644,T09B9.3,0.5562158810998451,4.8028503314905575e-52,2
WBGene00017295,F09E10.5,0.5526210254665924,2.9030843234303474e-51,2
WBGene00269432,ZC132.11,0.5519750597236894,4.00183225577288e-51,2
WBGene00001992,hot-7,0.5512649849993375,5.690389413388226e-51,2
WBGene00018736,F53B1.3,0.542930575510615,3.3302409634131943e-49,2
WBGene00008018,tbc-8,0.542416606225652,4.264313595586478e-49,2
WBGene00003642,nhr-52,0.5414047089807366,6.929527904423404e-49,2
