gene,gene_short_name,correlation,p-value,discovery_score
WBGene00003752,nlp-14,0.3898500508587123,5.573814187078034e-19,1
WBGene00008820,nlp-55,0.385794320772612,1.3718882879621753e-18,1
WBGene00009716,F44G4.7,0.3823414456182124,2.9246882832354548e-18,1
WBGene00012289,W05H12.1,0.381417477617018,3.575970859537707e-18,1
WBGene00012201,W02B12.1,0.3803052188842829,4.551282601162893e-18,1
WBGene00022522,ZC132.3,0.3794025576108845,5.5314808059500205e-18,1
WBGene00000224,atgp-1,0.3749923538772138,1.422091138677112e-17,1
WBGene00000491,che-12,0.3642422888693365,1.338460015291433e-16,1
WBGene00022412,Y102A11A.2,0.36171715061304727,2.239036935331588e-16,1
WBGene00003850,odr-3,0.361113456339251,2.530409356888169e-16,1
WBGene00016366,nhr-140,0.3597346454690168,3.342826935725764e-16,1
WBGene00020279,glb-25,0.35822491245410437,4.527380823107561e-16,1
WBGene00022817,upp-1,0.35809209156217225,4.649464090411185e-16,1
WBGene00007856,C31H5.5,0.3529532808200478,1.2893018252014482e-15,1
WBGene00010349,dyf-18,0.3529139097911848,1.2993233074131186e-15,1
WBGene00004370,rig-3,0.35273873791186716,1.3448465891872017e-15,1
WBGene00015053,B0222.1,0.3523835918706358,1.4419999035094325e-15,1
WBGene00005647,srp-6,0.34932118210751806,2.6217665238296624e-15,1
WBGene00019001,ipgm-1,0.34666245164766823,4.382384709275107e-15,1
WBGene00001787,gst-39,0.34288927088784116,9.009997729234224e-15,1
WBGene00014107,ZK856.6,0.34014903023142956,1.5114745172840045e-14,1
WBGene00003741,nlp-3,0.33929130319072504,1.7753000945010875e-14,1
WBGene00008865,F15G9.1,0.3387323177919481,1.9710179674757424e-14,1
WBGene00004924,snt-4,0.3385579331984535,2.036296114684594e-14,1
WBGene00015340,C02E7.7,0.33781849333670017,2.3374549564110717e-14,1
WBGene00010291,F58H10.1,0.33648806202253667,2.9930818854719913e-14,1
WBGene00007247,C01G12.7,0.33579417295715835,3.403416232773887e-14,1
WBGene00011355,lgc-14,0.33541882869007145,3.647861889336738e-14,1
WBGene00000277,cab-1,0.33473228085282697,4.140293692727451e-14,1
WBGene00006668,twk-13,0.33429422224845773,4.4879509097035597e-14,1
WBGene00045331,F14D7.12,0.33363859315668926,5.0623556020184136e-14,1
WBGene00008989,F20G2.6,0.32987022050801884,1.005933227224942e-13,1
WBGene00012100,sipa-1,0.329160476878088,1.1436078661881246e-13,1
WBGene00019663,K11H12.7,0.32858935662607236,1.267649877249862e-13,1
WBGene00010350,H01G02.3,0.3278487659408207,1.4482800901238055e-13,1
WBGene00019967,cyp-33C8,0.3216372596659058,4.3642841613688635e-13,1
WBGene00018637,F49E8.6,0.32147183453794925,4.492845291315025e-13,1
WBGene00000036,ace-2,0.3205044594258433,5.322287796250011e-13,1
WBGene00003404,mpz-1,0.3192055136297911,6.675418074290753e-13,1
WBGene00007176,kcnl-1,0.3172551681372641,9.360581403297246e-13,1
WBGene00010683,K08F8.7,0.3172172037043454,9.422154797950624e-13,1
WBGene00009774,F46B6.9,0.3148512225830159,1.4151667017893098e-12,1
WBGene00002141,inx-19,0.31133819065061463,2.571764849313872e-12,1
WBGene00000175,aqp-7,0.310485179056635,2.9696555966040847e-12,1
WBGene00015803,C15H9.9,0.3101189446996767,3.158402299140871e-12,1
WBGene00017991,clec-180,0.3101075571189664,3.1644552802011915e-12,1
WBGene00022518,zfh-2,0.30889768879129254,3.8764929597148965e-12,1
WBGene00009094,F23H12.5,0.3054776811271725,6.845592054697536e-12,1
WBGene00018297,F41F3.3,0.30355953012505366,9.386970742126824e-12,1
WBGene00011453,ugt-56,0.30349068755660424,9.493532483216292e-12,1
WBGene00003010,lin-24,0.3033139139314097,9.772602238097243e-12,1
WBGene00017597,F19C7.8,0.3024350653880928,1.1283361491824971e-11,1
WBGene00004131,pqn-44,0.30171186502608144,1.269558861928766e-11,1
WBGene00006055,ssr-2,0.3016693805155,1.2783713092349237e-11,1
WBGene00002991,lin-2,0.30110223149179216,1.4018916200974915e-11,1
WBGene00077536,F38B7.10,0.300896666954424,1.449478567691784e-11,1
WBGene00012372,W09H1.1,0.3004190512195719,1.566214443475341e-11,1
WBGene00000950,deg-1,0.29909822840148953,1.938910657859496e-11,1
WBGene00044387,C27A2.8,0.29902099484110806,1.9631980092117657e-11,1
WBGene00004267,rab-3,0.29586756352641885,3.2533375805358825e-11,1
WBGene00014101,gopc-1,0.2950990877126287,3.6760555715171525e-11,1
WBGene00016976,C56E10.3,0.29214369409205465,5.860560846886855e-11,1
WBGene00020190,guk-1,0.28979390541616834,8.459159392948129e-11,1
WBGene00044508,nsy-7,0.2890603897102163,9.479420732969797e-11,1
WBGene00017900,F28E10.1,0.2880623848058159,1.1062154122105348e-10,1
WBGene00014033,arrd-15,0.2875444685984093,1.1982175208007686e-10,1
WBGene00011869,dod-6,0.28746990250640914,1.2120627918749927e-10,1
WBGene00011073,R07A4.2,0.28703895830768483,1.2951861655560231e-10,1
WBGene00021396,cutl-24,0.2850498673903411,1.756552778140158e-10,1
WBGene00014068,nhr-255,0.28471437371064723,1.848749563693613e-10,1
WBGene00016237,C29H12.6,0.2830137226896339,2.393553479482176e-10,1
WBGene00005253,srh-30,0.27875552579218354,4.5349399455117016e-10,1
WBGene00022623,ZC487.1,0.2779914150718586,5.080107547689234e-10,1
WBGene00008040,ttr-5,0.27785538828288503,5.183625684836277e-10,1
WBGene00007604,xbx-9,0.27762888647861456,5.360566674680226e-10,1
WBGene00010647,K08C7.4,0.27676812677634033,6.088154895696162e-10,1
WBGene00017371,sre-39,0.2764997247437622,6.33406182495458e-10,1
WBGene00014067,ZK675.4,0.27623623086560334,6.584856358814847e-10,1
WBGene00020192,T03F1.11,0.2748943500558422,8.019556731871842e-10,1
WBGene00022617,ZC477.2,0.27456884924449776,8.410955733677523e-10,1
WBGene00001385,far-1,0.2737589780984491,9.467113358810226e-10,1
WBGene00020349,T08B2.11,0.27197400714967107,1.2270073317656786e-09,0
WBGene00008265,kcnl-4,0.27111406857248066,1.3893649592234968e-09,0
WBGene00019263,H35B03.1,0.271057053586779,1.4008378430234955e-09,0
WBGene00015741,C13F10.1,0.2707071547409202,1.4732889966333223e-09,0
WBGene00011060,R06C1.6,0.2706894423966913,1.477051788786463e-09,0
WBGene00010357,H03A11.2,0.2675604960135023,2.311164134593113e-09,0
WBGene00005251,srh-28,0.26577352341572485,2.9768424594245135e-09,0
WBGene00003166,mec-2,0.26575427880718977,2.9849376506613163e-09,0
WBGene00020039,R12E2.14,0.26505350269315614,3.294720675196909e-09,0
WBGene00002019,hsp-16.48,0.26096950016648474,5.824585273104301e-09,0
WBGene00017983,F32D1.3,0.26041469578859344,6.288627151680717e-09,0
WBGene00014175,ZK971.1,0.2601628623644552,6.5109070868037856e-09,0
WBGene00044020,ZK856.14,0.25993992409196803,6.714024840501659e-09,0
WBGene00020033,R12E2.7,0.2564499423858937,1.0819644181220438e-08,0
WBGene00003641,nhr-51,0.2564389871293448,1.0835742892885697e-08,0
WBGene00022389,pde-6,0.25626717565873186,1.1091275765534145e-08,0
WBGene00018413,cyp-33C4,0.2555382612022985,1.2241818562696189e-08,0
WBGene00003602,nhr-3,0.25472765204062425,1.3657118735260186e-08,0
WBGene00016945,sulp-1,0.25405781806138295,1.4945053746641523e-08,0
WBGene00009375,F34D10.6,0.2537284382017966,1.562076337477357e-08,0
WBGene00219300,W10G6.6,0.2536509458208012,1.5783982761476097e-08,0
WBGene00017326,dmd-5,0.2535249594709827,1.6052873828566002e-08,0
